,course,student,hoursWork_mean,ETA_mean,numAttendence_max,age,numChildren,enrollmentTime,distance,work,isSingle,grade
3887,97,16,5.333333333333333,0.9419063921410314,12,30,2.0,6,19,1,1,5.51
4083,102,16,5.75,0.5003455415944674,12,30,2.0,6,19,1,1,6.6
4481,112,16,5.5,0.5156170453850372,14,30,2.0,6,19,1,1,7.55
4520,113,16,5.333333333333333,0.8645451027073555,13,30,2.0,6,19,1,1,6.5
4762,119,16,5.5,0.48791402266148703,11,30,2.0,6,19,1,1,5.93
4804,120,16,5.25,0.9358537661208647,8,30,2.0,6,19,1,1,5.19
4842,121,16,5.666666666666667,0.5299800504926427,11,30,2.0,6,19,1,1,5.56
4960,124,16,5.083333333333333,0.9485872350085289,14,30,2.0,6,19,1,1,5.94
5042,126,16,4.583333333333333,0.8058671253775814,12,30,2.0,6,19,1,1,6.42
5162,129,16,5.0,0.49050432953405015,13,30,2.0,6,19,1,1,7.3
5800,145,16,4.916666666666667,0.805567089049711,12,30,2.0,6,19,1,1,6.44
6043,151,16,5.166666666666667,0.5069244312230652,13,30,2.0,6,19,1,1,6.74
6162,154,16,5.166666666666667,0.8901886220426117,15,30,2.0,6,19,1,1,6.77
6282,157,16,5.583333333333333,0.7443821819259967,9,30,2.0,6,19,1,1,4.78
7321,183,16,4.916666666666667,0.82748490408832,8,30,2.0,6,19,1,1,4.99
7842,196,16,5.166666666666667,0.5163065542637054,13,30,2.0,6,19,1,1,7.29
3,0,42,4.916666666666667,0.4241968698867138,17,30,2.0,5,16,1,0,6.26
166,4,42,5.5,0.49276503820216067,10,30,2.0,5,16,1,0,4.62
251,6,42,5.083333333333333,0.7596813218941426,13,30,2.0,5,16,1,0,5.39
444,11,42,5.333333333333333,0.4782136102614311,12,30,2.0,5,16,1,0,3.97
524,13,42,5.166666666666667,0.46210906794998113,11,30,2.0,5,16,1,0,4.23
807,20,42,4.916666666666667,0.48058607139716564,14,30,2.0,5,16,1,0,5.53
926,23,42,5.083333333333333,0.6324821400245271,13,30,2.0,5,16,1,0,5.36
1166,29,42,4.666666666666667,0.6563959232531551,14,30,2.0,5,16,1,0,4.73
1204,30,42,5.583333333333333,0.7617329868185352,10,30,2.0,5,16,1,0,3.58
1683,42,42,5.5,0.4411155445539394,9,30,2.0,5,16,1,0,3.75
1885,47,42,4.916666666666667,0.7589833701569653,12,30,2.0,5,16,1,0,4.6
2165,54,42,5.083333333333333,0.6329952856597268,17,30,2.0,5,16,1,0,6.19
2604,65,42,5.0,0.4422496972003694,13,30,2.0,5,16,1,0,5.16
2649,66,42,4.75,0.708535116988565,14,30,2.0,5,16,1,0,5.17
2688,67,42,5.333333333333333,0.7429213287281028,14,30,2.0,5,16,1,0,5.45
2771,69,42,5.166666666666667,0.6507346747758602,13,30,2.0,5,16,1,0,4.01
2963,74,42,5.166666666666667,0.45023360116651806,12,30,2.0,5,16,1,0,6.83
3609,90,42,5.166666666666667,0.6763093317773118,13,30,2.0,5,16,1,0,5.58
4845,121,42,5.25,0.48531255474173757,12,30,2.0,5,16,1,0,5.24
4965,124,42,5.0,0.7861840568266865,10,30,2.0,5,16,1,0,4.3
5483,137,42,5.5,0.6867997248066852,11,30,2.0,5,16,1,0,3.7
5526,138,42,4.583333333333333,0.7961458138472151,12,30,2.0,5,16,1,0,3.53
5766,144,42,5.25,0.6435402478482574,11,30,2.0,5,16,1,0,4.89
5928,148,42,5.583333333333333,0.6200528033041365,9,30,2.0,5,16,1,0,4.36
6527,163,42,5.166666666666667,0.4725850042449901,11,30,2.0,5,16,1,0,3.86
6605,165,42,4.916666666666667,0.5851037920156026,12,30,2.0,5,16,1,0,5.48
6683,167,42,5.416666666666667,0.7027204915475044,13,30,2.0,5,16,1,0,4.3
6886,172,42,5.916666666666667,0.5928432114063104,8,30,2.0,5,16,1,0,3.7
6965,174,42,5.0,0.6165624564695187,13,30,2.0,5,16,1,0,5.22
7203,180,42,5.666666666666667,0.609658035112547,6,30,2.0,5,16,1,0,3.38
7889,197,42,4.5,0.7282885522741069,13,30,2.0,5,16,1,0,5.01
4,0,53,4.75,0.41506900892187376,5,30,5.0,7,11,1,1,4.23
167,4,53,4.916666666666667,0.4118663581801001,3,30,5.0,7,11,1,1,2.74
406,10,53,5.5,0.6158653259470295,4,30,5.0,7,11,1,1,3.11
485,12,53,5.083333333333333,0.6725510614816609,7,30,5.0,7,11,1,1,4.24
686,17,53,5.25,0.7528485012921657,6,30,5.0,7,11,1,1,4.61
890,22,53,5.5,0.6630384766483023,5,30,5.0,7,11,1,1,4.2
928,23,53,5.25,0.6312214831356642,6,30,5.0,7,11,1,1,3.7
1451,36,53,4.916666666666667,0.5259124270586546,4,30,5.0,7,11,1,1,3.62
2129,53,53,5.416666666666667,0.45980317331727844,6,30,5.0,7,11,1,1,4.67
2206,55,53,6.0,0.7364175670348704,5,30,5.0,7,11,1,1,3.63
2247,56,53,5.583333333333333,0.59863907293584,4,30,5.0,7,11,1,1,4.48
2965,74,53,4.583333333333333,0.4377545770963362,4,30,5.0,7,11,1,1,3.18
3448,86,53,5.583333333333333,0.44680215398447115,4,30,5.0,7,11,1,1,2.77
3688,92,53,5.333333333333333,0.5923398057976578,6,30,5.0,7,11,1,1,4.74
3725,93,53,6.083333333333333,0.5982220617556563,4,30,5.0,7,11,1,1,3.32
3767,94,53,5.916666666666667,0.5532804801933049,2,30,5.0,7,11,1,1,1.82
3811,95,53,5.083333333333333,0.5793033756115099,5,30,5.0,7,11,1,1,3.25
3846,96,53,4.833333333333333,0.6530736855191334,8,30,5.0,7,11,1,1,5.62
4010,100,53,5.666666666666667,0.6426890518902995,7,30,5.0,7,11,1,1,4.77
4246,106,53,5.583333333333333,0.6577005622731894,9,30,5.0,7,11,1,1,4.92
4525,113,53,5.333333333333333,0.6836317121579296,6,30,5.0,7,11,1,1,5.22
4648,116,53,5.083333333333333,0.5918273227667213,6,30,5.0,7,11,1,1,5.1
4685,117,53,5.166666666666667,0.6402473201438681,9,30,5.0,7,11,1,1,5.41
4846,121,53,5.583333333333333,0.4767005031329589,4,30,5.0,7,11,1,1,2.89
5086,127,53,5.583333333333333,0.4421952279483576,7,30,5.0,7,11,1,1,4.48
5326,133,53,4.75,0.5543053711174907,5,30,5.0,7,11,1,1,4.45
5366,134,53,5.166666666666667,0.7176366011295806,8,30,5.0,7,11,1,1,5.26
5768,144,53,5.25,0.5836622771720005,6,30,5.0,7,11,1,1,4.07
5889,147,53,5.333333333333333,0.5377396389038162,5,30,5.0,7,11,1,1,3.86
6126,153,53,5.166666666666667,0.6338477581892819,6,30,5.0,7,11,1,1,4.54
6167,154,53,4.5,0.6894185575159982,12,30,5.0,7,11,1,1,6.45
6404,160,53,5.333333333333333,0.4407205215343964,7,30,5.0,7,11,1,1,5.05
6967,174,53,5.416666666666667,0.612754418774823,6,30,5.0,7,11,1,1,5.4
7126,178,53,4.75,0.5982694711420696,7,30,5.0,7,11,1,1,4.46
7205,180,53,4.75,0.5799672247544697,6,30,5.0,7,11,1,1,3.57
7848,196,53,5.916666666666667,0.500767885286005,5,30,5.0,7,11,1,1,4.77
5,0,61,4.916666666666667,0.6496113361967312,9,29,3.0,1,20,1,1,5.55
605,15,61,4.916666666666667,0.8610726486089417,10,29,3.0,1,20,1,1,5.49
771,19,61,4.583333333333333,0.6411377660523631,9,29,3.0,1,20,1,1,5.08
1207,30,61,5.333333333333333,0.9846709141162995,8,29,3.0,1,20,1,1,4.33
1368,34,61,5.833333333333333,1.0228934439054058,6,29,3.0,1,20,1,1,3.53
1488,37,61,5.25,0.6525409872578272,10,29,3.0,1,20,1,1,5.54
1567,39,61,5.166666666666667,0.6053357498040058,9,29,3.0,1,20,1,1,5.74
1924,48,61,5.666666666666667,0.8925476181989426,8,29,3.0,1,20,1,1,5.52
2088,52,61,4.916666666666667,0.6096349889947102,10,29,3.0,1,20,1,1,4.91
3246,81,61,5.25,0.8527072247184478,10,29,3.0,1,20,1,1,5.74
3651,91,61,5.416666666666667,0.5924321782995637,8,29,3.0,1,20,1,1,4.33
4013,100,61,5.916666666666667,0.816221590230081,7,29,3.0,1,20,1,1,5.24
4130,103,61,5.25,0.818416359169797,9,29,3.0,1,20,1,1,4.72
4567,114,61,4.5,0.8887764867429362,12,29,3.0,1,20,1,1,6.98
4729,118,61,4.583333333333333,0.8851033961056096,13,29,3.0,1,20,1,1,5.81
4808,120,61,4.5,1.1042531133902187,12,29,3.0,1,20,1,1,5.35
4849,121,61,4.833333333333333,0.6273251206807503,13,29,3.0,1,20,1,1,7.2
4967,124,61,5.75,1.051303599607986,10,29,3.0,1,20,1,1,4.75
5448,136,61,5.916666666666667,1.0085792061766623,6,29,3.0,1,20,1,1,4.19
5645,141,61,5.833333333333333,0.6114303540761384,7,29,3.0,1,20,1,1,4.89
5727,143,61,5.083333333333333,1.0857527245617125,10,29,3.0,1,20,1,1,5.25
5971,149,61,4.916666666666667,0.8046911940966113,7,29,3.0,1,20,1,1,4.33
6089,152,61,5.333333333333333,0.7995068835493847,13,29,3.0,1,20,1,1,5.9
6405,160,61,5.166666666666667,0.5969752463532753,8,29,3.0,1,20,1,1,4.52
6848,171,61,5.5,0.9032605805518984,8,29,3.0,1,20,1,1,5.31
6968,174,61,5.25,0.9283953524887841,10,29,3.0,1,20,1,1,5.07
7564,189,61,5.583333333333333,0.927102514306081,9,29,3.0,1,20,1,1,4.41
6,0,79,5.25,0.2394461424181127,16,26,0.0,1,11,1,1,8.25
329,8,79,4.916666666666667,0.4478571152107306,15,26,0.0,1,11,1,1,6.3
487,12,79,5.166666666666667,0.39295164047037145,14,26,0.0,1,11,1,1,7.77
896,22,79,5.5,0.431922622798903,12,26,0.0,1,11,1,1,7.05
1334,33,79,4.916666666666667,0.34138622329337753,14,26,0.0,1,11,1,1,7.87
1373,34,79,5.916666666666667,0.45607478738852997,16,26,0.0,1,11,1,1,6.88
1529,38,79,5.833333333333333,0.2389218066649279,15,26,0.0,1,11,1,1,6.38
1569,39,79,4.5,0.2439557014490887,20,26,0.0,1,11,1,1,8.5
2572,64,79,5.25,0.42867434178846237,13,26,0.0,1,11,1,1,6.66
2609,65,79,5.5,0.2570499355105032,17,26,0.0,1,11,1,1,7.73
3052,76,79,5.083333333333333,0.3695204275167286,15,26,0.0,1,11,1,1,7.69
3209,80,79,4.666666666666667,0.2412433194367909,16,26,0.0,1,11,1,1,8.6
3372,84,79,5.416666666666667,0.2422994859293904,18,26,0.0,1,11,1,1,8.21
3614,90,79,5.0,0.3878383945804535,15,26,0.0,1,11,1,1,7.31
4047,101,79,5.833333333333333,0.38472376394909064,14,26,0.0,1,11,1,1,6.65
4132,103,79,5.166666666666667,0.30611311241316,16,26,0.0,1,11,1,1,7.99
4209,105,79,5.25,0.3786647324923233,16,26,0.0,1,11,1,1,7.17
5049,126,79,5.25,0.3919584545277462,13,26,0.0,1,11,1,1,6.96
5532,138,79,4.416666666666667,0.45797073085994816,16,26,0.0,1,11,1,1,7.8
5729,143,79,4.916666666666667,0.4488773142756741,15,26,0.0,1,11,1,1,7.66
5772,144,79,5.416666666666667,0.38951842017006677,12,26,0.0,1,11,1,1,6.59
6052,151,79,5.0,0.24417920216329023,19,26,0.0,1,11,1,1,8.07
6251,156,79,4.833333333333333,0.314728374066899,15,26,0.0,1,11,1,1,7.32
7209,180,79,5.083333333333333,0.35715533032764163,15,26,0.0,1,11,1,1,7.24
7488,187,79,5.25,0.38450652609490615,18,26,0.0,1,11,1,1,6.77
7530,188,79,5.166666666666667,0.31886573295073267,17,26,0.0,1,11,1,1,7.94
7,0,80,4.916666666666667,0.7176013647495854,6,32,4.0,11,23,1,0,1.35
88,2,80,5.916666666666667,0.9243397230207901,5,32,4.0,11,23,1,0,1.09
488,12,80,5.25,1.172493088538843,8,32,4.0,11,23,1,0,2.14
1049,26,80,5.333333333333333,1.160273610739064,6,32,4.0,11,23,1,0,1.71
1096,27,80,4.666666666666667,1.1684791850026264,7,32,4.0,11,23,1,0,1.12
1490,37,80,4.916666666666667,0.7652067276437573,5,32,4.0,11,23,1,0,1.65
1969,49,80,4.75,1.018476843168387,5,32,4.0,11,23,1,0,0.78
2047,51,80,4.416666666666667,0.7181008018348701,9,32,4.0,11,23,1,0,2.83
2293,57,80,4.916666666666667,1.4332898058557717,11,32,4.0,11,23,1,0,2.89
2968,74,80,5.5,0.7071462183714018,4,32,4.0,11,23,1,0,0.12
3015,75,80,5.5,0.8765125556658129,10,32,4.0,11,23,1,0,2.63
3291,82,80,5.25,1.0745597293738418,10,32,4.0,11,23,1,0,2.23
3325,83,80,5.666666666666667,1.1573739377583405,6,32,4.0,11,23,1,0,1.76
3692,92,80,4.833333333333333,0.9530699598758442,12,32,4.0,11,23,1,0,3.61
3929,98,80,5.5,0.8413346764308103,7,32,4.0,11,23,1,0,0.93
4133,103,80,5.416666666666667,0.993346115550214,8,32,4.0,11,23,1,0,0.6
4409,110,80,5.75,0.9087598354647053,5,32,4.0,11,23,1,0,0.49
4528,113,80,5.416666666666667,1.132440558306704,4,32,4.0,11,23,1,0,0.0
4734,118,80,5.333333333333333,1.0354936234478849,9,32,4.0,11,23,1,0,2.5
5090,127,80,5.416666666666667,0.7396682624525904,5,32,4.0,11,23,1,0,1.4
5127,128,80,5.333333333333333,0.9311307877430446,7,32,4.0,11,23,1,0,1.82
5648,141,80,4.916666666666667,0.8060891449453731,6,32,4.0,11,23,1,0,1.98
5773,144,80,5.166666666666667,1.0612363484891856,8,32,4.0,11,23,1,0,1.87
5845,146,80,4.916666666666667,0.8385810342779397,4,32,4.0,11,23,1,0,0.0
6288,157,80,5.083333333333333,0.988215130711735,5,32,4.0,11,23,1,0,0.54
6610,165,80,5.083333333333333,0.9762512368153073,11,32,4.0,11,23,1,0,2.22
7051,176,80,4.833333333333333,1.1914435327320143,5,32,4.0,11,23,1,0,0.9
7410,185,80,4.583333333333333,1.0906913719264637,9,32,4.0,11,23,1,0,0.88
8,0,82,5.333333333333333,0.40366721027975033,12,29,1.0,4,17,1,1,7.11
850,21,82,5.416666666666667,0.6282088408434969,11,29,1.0,4,17,1,1,6.07
1288,32,82,5.583333333333333,0.6339335792884941,14,29,1.0,4,17,1,1,6.74
1374,34,82,5.333333333333333,0.7583735508113247,12,29,1.0,4,17,1,1,6.17
1650,41,82,5.583333333333333,0.7387685363140798,9,29,1.0,4,17,1,1,4.58
2048,51,82,5.25,0.42664562856270866,13,29,1.0,4,17,1,1,6.72
2250,56,82,5.25,0.6718027023063761,11,29,1.0,4,17,1,1,5.85
2573,64,82,5.833333333333333,0.7474228279960958,9,29,1.0,4,17,1,1,5.8
2732,68,82,5.333333333333333,0.42496094507405435,13,29,1.0,4,17,1,1,7.4
3452,86,82,4.833333333333333,0.4336548570222882,12,29,1.0,4,17,1,1,6.35
3656,91,82,5.416666666666667,0.4178934490274892,10,29,1.0,4,17,1,1,6.55
4251,106,82,5.083333333333333,0.7577130445946221,13,29,1.0,4,17,1,1,5.86
4370,109,82,6.25,0.4225528618246051,8,29,1.0,4,17,1,1,5.25
4855,121,82,4.333333333333333,0.4427413760321988,19,29,1.0,4,17,1,1,7.26
4932,123,82,5.0,0.5579747895096526,18,29,1.0,4,17,1,1,8.38
5050,126,82,5.25,0.6520677185015961,14,29,1.0,4,17,1,1,6.9
5330,133,82,5.333333333333333,0.5884120905102107,11,29,1.0,4,17,1,1,6.05
6210,155,82,4.666666666666667,0.5706383382200805,15,29,1.0,4,17,1,1,7.42
6289,157,82,4.833333333333333,0.6423902472186616,17,29,1.0,4,17,1,1,8.15
7089,177,82,6.0,0.41553964934555304,9,29,1.0,4,17,1,1,5.76
7489,187,82,4.833333333333333,0.6329247125553995,15,29,1.0,4,17,1,1,7.01
7894,197,82,5.416666666666667,0.7550427942627732,9,29,1.0,4,17,1,1,5.77
7927,198,82,6.0,0.6767708731910754,11,29,1.0,4,17,1,1,6.2
9,0,89,5.833333333333333,0.6531121809978098,8,27,1.0,3,25,1,0,3.88
172,4,89,5.166666666666667,0.6959727534708787,12,27,1.0,3,25,1,0,5.48
935,23,89,5.166666666666667,1.0901034351988723,17,27,1.0,3,25,1,0,6.03
1530,38,89,5.666666666666667,0.6364834374612786,13,27,1.0,3,25,1,0,5.45
1570,39,89,4.916666666666667,0.6752186648737412,14,27,1.0,3,25,1,0,5.31
1653,41,89,5.416666666666667,1.1271891125644844,10,27,1.0,3,25,1,0,4.69
1857,46,89,5.0,1.1847166708407817,12,27,1.0,3,25,1,0,5.25
1892,47,89,5.25,1.1680083669062806,13,27,1.0,3,25,1,0,5.36
2694,67,89,5.25,1.113696274572045,14,27,1.0,3,25,1,0,5.55
2970,74,89,5.833333333333333,0.6562931718032117,11,27,1.0,3,25,1,0,5.01
3293,82,89,5.0,1.065450342657837,17,27,1.0,3,25,1,0,5.32
4048,101,89,5.166666666666667,1.0215854182175315,16,27,1.0,3,25,1,0,6.1
4687,117,89,5.75,1.1282001282749226,9,27,1.0,3,25,1,0,3.47
4736,118,89,5.916666666666667,0.9258666644854309,13,27,1.0,3,25,1,0,5.1
5093,127,89,4.75,0.6898728343000885,14,27,1.0,3,25,1,0,6.63
5689,142,89,4.75,0.7598831299808241,14,27,1.0,3,25,1,0,5.2
5847,146,89,5.583333333333333,0.7291425118144311,13,27,1.0,3,25,1,0,5.96
5931,148,89,5.75,0.9096221293480579,9,27,1.0,3,25,1,0,4.6
5974,149,89,5.333333333333333,0.8785369122586669,15,27,1.0,3,25,1,0,5.73
6496,162,89,5.0,1.016783145434548,14,27,1.0,3,25,1,0,5.28
7053,176,89,5.833333333333333,1.137218578920402,8,27,1.0,3,25,1,0,3.41
7728,193,89,5.333333333333333,1.1997675834887915,12,27,1.0,3,25,1,0,5.09
10,0,90,0.0,0.33908626521174706,23,29,0.0,6,16,0,1,9.74
131,3,90,0.0,0.5451258893116661,17,29,0.0,6,16,0,1,8.29
210,5,90,0.0,0.3407737259317671,23,29,0.0,6,16,0,1,9.62
257,6,90,0.0,0.5583375449263323,17,29,0.0,6,16,0,1,8.15
609,15,90,0.0,0.52761778565849,20,29,0.0,6,16,0,1,9.08
897,22,90,0.0,0.6368435387525658,18,29,0.0,6,16,0,1,8.59
1015,25,90,0.0,0.4876498674156004,17,29,0.0,6,16,0,1,8.76
1531,38,90,0.0,0.34143466679123463,23,29,0.0,6,16,0,1,9.28
1571,39,90,0.0,0.36336101039364416,23,29,0.0,6,16,0,1,8.88
1811,45,90,0.0,0.6156493544968832,22,29,0.0,6,16,0,1,9.3
1858,46,90,0.0,0.683698026708937,19,29,0.0,6,16,0,1,7.78
1927,48,90,0.0,0.5126643047945135,19,29,0.0,6,16,0,1,8.84
2007,50,90,0.0,0.3572887596700736,21,29,0.0,6,16,0,1,8.64
2971,74,90,0.0,0.35789091019213415,21,29,0.0,6,16,0,1,8.94
3132,78,90,0.0,0.3658923576113922,22,29,0.0,6,16,0,1,9.32
3294,82,90,0.0,0.5739449523373524,20,29,0.0,6,16,0,1,8.59
3328,83,90,0.0,0.6581153877161272,16,29,0.0,6,16,0,1,8.58
3893,97,90,0.0,0.6617907228697062,16,29,0.0,6,16,0,1,8.44
4049,101,90,0.0,0.5581083520742728,20,29,0.0,6,16,0,1,8.99
4171,104,90,0.0,0.34528883443726527,21,29,0.0,6,16,0,1,9.52
4410,110,90,0.0,0.4328845257763847,18,29,0.0,6,16,0,1,9.18
4530,113,90,0.0,0.679167229964185,17,29,0.0,6,16,0,1,8.41
4609,115,90,0.0,0.3654936037654297,21,29,0.0,6,16,0,1,10.0
4688,117,90,0.0,0.6360529168466399,17,29,0.0,6,16,0,1,7.69
5453,136,90,0.0,0.6427099967064692,19,29,0.0,6,16,0,1,7.76
5610,140,90,0.0,0.3584951718256364,23,29,0.0,6,16,0,1,10.0
5848,146,90,0.0,0.3660859471030075,20,29,0.0,6,16,0,1,8.46
6053,151,90,0.0,0.3548277926004355,22,29,0.0,6,16,0,1,9.38
6290,157,90,0.0,0.5637876546579609,20,29,0.0,6,16,0,1,8.39
6497,162,90,0.0,0.5572588189369173,16,29,0.0,6,16,0,1,8.03
6649,166,90,0.0,0.46657467350998877,21,29,0.0,6,16,0,1,8.37
6768,169,90,0.0,0.6448373519109923,17,29,0.0,6,16,0,1,8.07
6933,173,90,0.0,0.4477421483400374,20,29,0.0,6,16,0,1,8.28
6975,174,90,0.0,0.5164358642790935,16,29,0.0,6,16,0,1,8.21
7697,192,90,0.0,0.5480139020079307,18,29,0.0,6,16,0,1,7.83
7768,194,90,0.0,0.3576380484659776,21,29,0.0,6,16,0,1,9.84
11,0,97,0.0,0.4451469372881602,22,26,1.0,2,18,0,1,8.51
369,9,97,0.0,0.6334272034329921,19,26,1.0,2,18,0,1,8.26
577,14,97,0.0,0.8273321041772334,18,26,1.0,2,18,0,1,7.56
777,19,97,0.0,0.4518463862759645,22,26,1.0,2,18,0,1,9.09
938,23,97,0.0,0.6933431700368845,19,26,1.0,2,18,0,1,8.52
1375,34,97,0.0,0.767842083482448,20,26,1.0,2,18,0,1,9.02
1812,45,97,0.0,0.7814947560077187,18,26,1.0,2,18,0,1,7.31
1930,48,97,0.0,0.6303740772797454,18,26,1.0,2,18,0,1,7.25
2049,51,97,0.0,0.443268220928833,21,26,1.0,2,18,0,1,8.45
2294,57,97,0.0,0.8960593734958068,18,26,1.0,2,18,0,1,7.21
2333,58,97,0.0,0.740685757163289,21,26,1.0,2,18,0,1,8.45
2492,62,97,0.0,0.8071422785381271,20,26,1.0,2,18,0,1,8.34
2576,64,97,0.0,0.7494634213800939,20,26,1.0,2,18,0,1,7.41
2695,67,97,0.0,0.730861492560801,18,26,1.0,2,18,0,1,8.1
2775,69,97,0.0,0.7044747329409917,19,26,1.0,2,18,0,1,8.51
2934,73,97,0.0,0.7060519352128658,15,26,1.0,2,18,0,1,7.11
3251,81,97,0.0,0.640462132275407,20,26,1.0,2,18,0,1,8.84
3416,85,97,0.0,0.48254917919476686,19,26,1.0,2,18,0,1,7.9
3817,95,97,0.0,0.6209062509483133,19,26,1.0,2,18,0,1,8.63
